Ticker	EntryTime	ExitTime	EntryPrice	ExitPrice	Duration	Size	EntryBar	ExitBar	ReturnPct	PnL	caso
NFLX	2024-09-06 18:30:00+00:00	2024-09-09 16:30:00+00:00	665.0449829101562	676.530029296875	2 days 22:00:00	20.0	2171.0	2176.0	0.0172695782719261	229.700927734375	21
NFLX	2024-09-11 18:30:00+00:00	2024-09-19 14:30:00+00:00	678.3499755859375	709.760009765625	7 days 20:00:00	20.0	2192.0	2230.0	0.04630358267877366	628.20068359375	22
NFLX	2024-10-18 13:30:00+00:00	2024-10-21 19:30:00+00:00	737.6400146484375	769.239990234375	3 days 06:00:00	19.0	2376.0	2389.0	0.042839291467936746	600.3995361328125	23
NFLX	2024-10-29 14:30:00+00:00	2024-10-29 18:30:00+00:00	751.2000122070312	760.364990234375	0 days 04:00:00	19.0	2426.0	2430.0	0.012200449784894207	174.13458251953125	24
NFLX	2024-12-19 15:30:00+00:00	2024-12-20 16:30:00+00:00	905.6300048828124	910.989990234375	1 days 01:00:00	16.0	2674.0	2682.0	0.00591851564398671	85.75976562500182	25
NFLX	2024-12-23 18:30:00+00:00	2024-12-24 16:30:00+00:00	911.760009765625	931.6500244140624	0 days 22:00:00	16.0	2691.0	2696.0	0.021814967135431074	318.2402343749982	26
NFLX	2025-01-06 20:30:00+00:00	2025-01-16 14:30:00+00:00	875.7449951171875	861.4299926757812	9 days 18:00:00	17.0	2745.0	2788.0	-0.016346085357291318	-243.35504150390625	27
NFLX	2025-01-15 14:30:00+00:00	2025-01-16 14:30:00+00:00	836.4400024414062	861.4299926757812	1 days 00:00:00						28
NFLX	2025-02-25 18:30:00+00:00	2025-02-26 16:30:00+00:00	970.9879760742188	996.35498046875	0 days 22:00:00	15.0	2975.0	2980.0	0.02612494183202152	380.50506591796875	29
NFLX	2025-03-04 17:30:00+00:00	2025-03-05 19:30:00+00:00	971.6199951171876	989.3800048828124	1 days 02:00:00	16.0	3009.0	3018.0	0.018278761094745466	284.16015624999636	30
NFLX	2025-03-10 18:30:00+00:00	2025-03-12 18:30:00+00:00	859.4849853515625	919.260009765625	2 days 00:00:00	18.0	3039.0	3053.0	0.06954749115205572	1075.950439453125	31
NFLX	2025-03-31 15:30:00+00:00	2025-04-09 19:30:00+00:00	911.72998046875	941.02001953125	9 days 04:00:00	18.0	3141.0	3194.0	0.03212578251231912	527.220703125	32
NFLX	2025-04-07 19:30:00+00:00	2025-04-09 19:30:00+00:00	865.14501953125	941.02001953125	2 days 00:00:00						33
NFLX	2025-05-12 16:30:00+00:00	2025-05-16 18:30:00+00:00	1111.72998046875	1191.66552734375	4 days 02:00:00	15.0	3346.0	3376.0	0.0719019440685551	1199.033203125	34
QQQ	2023-06-27 14:30:00+00:00	2023-06-28 15:30:00+00:00	359.5599975585937	364.760009765625	1 days 01:00:00						1
QQQ	2023-07-10 17:30:00+00:00	2023-07-14 13:30:00+00:00	365.8900146484375	379.5849914550781	3 days 20:00:00	27.0	126.0	150.0	0.03742921713728453	369.7643737792969	2
QQQ	2023-07-25 13:30:00+00:00	2023-07-28 15:30:00+00:00	376.9500122070313	383.75	3 days 02:00:00	27.0	199.0	222.0	0.01803949482095768	183.59967041015472	3
QQQ	2023-08-09 17:30:00+00:00	2023-08-10 13:30:00+00:00	369.5	370.9700012207031	0 days 20:00:00	28.0	280.0	283.0	0.003978352424095055	41.1600341796875	4
QQQ	2023-09-19 15:30:00+00:00	2023-10-02 14:30:00+00:00	367.5899963378906	359.9700012207031	12 days 23:00:00	28.0	474.0	536.0	-0.02072960415980185	-213.35986328125	5
QQQ	2023-09-27 18:30:00+00:00	2023-10-02 14:30:00+00:00	353.4598999023437	359.9700012207031	4 days 20:00:00						6
