Ticker	EntryTime	ExitTime	EntryPrice	ExitPrice	Duration	Size	EntryBar	ExitBar	ReturnPct	PnL	caso	Tag
AAPL	2025-06-09 16:30:00+00:00	2025-06-24 15:30:00+00:00	203.92999267578125	201.4600067138672	14 days 23:00:00	72.0	3347.0	3416.0	-0.012111930812653826	-177.8389892578125	34	long
AAPL	2025-06-24 19:30:00+00:00	2025-07-03 11:00:00+00:00	201.5350036621093	213.97	8 days 15:30:00	72.0	3420.0	3479.0	0.061701422144706086	895.3197363281311	35	long
AAPL	2025-07-07 04:00:00+00:00		213.57								36	long
AMD	2023-08-02 15:30:00+00:00	2023-08-07 13:30:00+00:00	109.9000015258789	116.36000061035156	4 days 22:00:00						1	long
AMD	2023-08-08 14:30:00+00:00	2023-08-15 17:30:00+00:00	113.5426025390625	111.83000183105467	7 days 03:00:00	88.0	141.0	179.0	-0.01508333145189833	-150.70886230468875	2	long
AMD	2023-08-15 17:30:00+00:00	2023-08-18 13:30:00+00:00	111.83000183105467	102.4000015258789	2 days 20:00:00	-88.0	179.0	196.0	0.08432442234439008	829.8400268554675	3	short
AMD	2023-08-21 18:30:00+00:00	2023-08-25 14:30:00+00:00	107.54000091552734	101.77269744873048	3 days 20:00:00	-99.0	208.0	232.0	0.053629379000350585	570.9630432128893	4	short
AMD	2023-08-28 13:30:00+00:00	2023-09-11 15:30:00+00:00	103.47000122070312	103.4800033569336	10 days 04:00:00	-108.0	238.0	291.0	-0.031893257789031404	-356.3995056152344	5	short
AMD	2023-09-07 17:30:00+00:00	2023-09-13 16:30:00+00:00	106.7699966430664	108.04000091552734	3 days 22:00:00	102.0	291.0	303.0	-0.030813837122532717	-335.5793151855469	6	long
AMD	2023-09-13 16:30:00+00:00	2023-09-26 18:30:00+00:00	108.04000091552734	95.94000244140624	13 days 02:00:00	-97.0	318.0	383.0	0.11199554212871277	1173.6998519897475	7	short
AMD	2023-10-03 18:30:00+00:00	2023-10-12 14:30:00+00:00	99.66999816894533	110.04000091552734	8 days 20:00:00	117.0	418.0	463.0	0.10404337250016171	1213.290321350096	8	long
AMD	2023-10-19 13:30:00+00:00	2023-10-26 19:30:00+00:00	103.80999755859376	94.5199966430664	7 days 06:00:00	-124.0	497.0	538.0	0.08949042610547964	1151.9601135253924	9	short
AMD	2023-10-27 15:30:00+00:00	2023-12-06 15:30:00+00:00	96.8000030517578	119.81500244140624	40 days 00:00:00	-145.0	541.0	725.0	-0.23775825066185785	-3337.1749114990234	10	short
