Ticker	EntryTime	ExitTime	EntryPrice	ExitPrice	Duration	Size	EntryBar	ExitBar	ReturnPct	caso
SLV	2024-02-13 20:30:00+00:00	2024-02-16 18:30:00+00:00	20.170000076293945	21.440000534057617	2 days 22:00:00	495.0	1181.0	1200.0	0.0629648216638492	2
SLV	2024-06-26 14:30:00+00:00	2024-07-05 16:30:00+00:00	26.25	28.63999938964844	9 days 02:00:00	404.0	1820.0	1860.0	0.0910475957961312	3
SLV	2024-08-08 13:30:00+00:00	2024-08-27 17:30:00+00:00	24.71999931335449	27.32999992370605	19 days 04:00:00	469.0	2025.0	2120.0	0.10558255189520005	4
SLV	2024-12-31 19:30:00+00:00	2025-01-10 14:30:00+00:00	26.315000534057617	27.93000030517578	9 days 19:00:00	487.0	2722.0	2759.0	0.061371831211935124	5
SLV	2025-02-28 20:30:00+00:00	2025-03-06 16:30:00+00:00	28.290000915527344	29.799999237060547	5 days 20:00:00	480.0	2996.0	3020.0	0.05337569009071408	6
SLV	2025-04-04 19:30:00+00:00	2025-04-16 16:30:00+00:00	26.98500061035156	29.926300048828125	11 days 21:00:00	531.0	3171.0	3222.0	0.10899756798034943	7
SPY	2023-10-30 15:30:00+00:00	2023-12-01 19:30:00+00:00	412.9549865722656	458.7300109863281	32 days 04:00:00					1
SPY	2024-04-22 15:30:00+00:00	2024-04-29 16:30:00+00:00	496.4400024414063	510.1499938964844	7 days 01:00:00	20.0	1506.0	1542.0	0.02761661306029861	2
SPY	2024-09-09 13:30:00+00:00	2024-09-19 17:30:00+00:00	544.6500244140625	571.85498046875	10 days 04:00:00	18.0	2172.0	2232.0	0.04994942593448837	3
SPY	2024-11-01 13:30:00+00:00	2024-11-08 18:30:00+00:00	571.3200073242188	598.25	7 days 05:00:00	18.0	2445.0	2484.0	0.04713644250252691	4
TNA	2023-10-30 15:30:00+00:00	2023-11-03 17:30:00+00:00	21.90999984741211	26.90999984741211	4 days 02:00:00					1
TSLA	2024-02-05 16:30:00+00:00	2024-02-09 20:30:00+00:00	177.3800048828125	192.7400054931641	4 days 04:00:00					1
TSLA	2024-08-08 13:30:00+00:00	2024-08-21 17:30:00+00:00	195.6999969482422	221.99899291992188	13 days 04:00:00	51.0	2025.0	2092.0	0.13438424313637132	2
TSLA	2024-10-23 18:30:00+00:00	2024-10-28 14:30:00+00:00	213.5863037109375	271.989990234375	4 days 20:00:00	53.0	2401.0	2418.0	0.27344303220153865	3
TSLA	2025-01-03 14:30:00+00:00	2025-01-06 14:30:00+00:00	381.6549987792969	423.30999755859375	3 days 00:00:00	37.0	2731.0	2738.0	0.10914307139308588	4
TSLA	2025-04-09 13:30:00+00:00	2025-04-09 19:30:00+00:00	224.5625	268.45001220703125	0 days 06:00:00	71.0	3186.0	3192.0	0.1954356235214305	5
USO	2023-08-23 15:30:00+00:00	2023-09-19 14:30:00+00:00	71.62000274658203	81.92900085449219	26 days 23:00:00					1
USO	2023-10-05 18:30:00+00:00	2023-10-09 16:30:00+00:00	73.79000091552734	76.91999816894531	3 days 22:00:00	135.0	561.0	573.0	0.04241763402335641	2
XOM	2023-11-09 16:30:00+00:00	2023-11-13 16:30:00+00:00	103.41000366210938	104.91999816894533	4 days 00:00:00					1
XOM	2024-06-18 13:30:00+00:00	2024-06-28 15:30:00+00:00	109.02999877929688	115.63999938964844	10 days 02:00:00	91.0	1784.0	1835.0	0.06062552218983153	2
XOM	2024-09-11 18:30:00+00:00	2024-09-24 13:30:00+00:00	109.29000091552734	117.83999633789062	12 days 19:00:00	97.0	2191.0	2249.0	0.07823218364662443	3
XOM	2024-11-04 16:30:00+00:00	2024-11-06 18:30:00+00:00	117.98999786376952	121.23999786376952	2 days 02:00:00	96.0	2454.0	2470.0	0.027544707677276348	4
